Tri Yearly Milestones,12/1/2019,4/1/2020,8/1/2020,12/1/2020,4/1/2021,8/1/2021,12/1/2021
Target: Total Recruitment,10,75,100,125,150,180,180
"Actual: Total Recruitment							",,,,,,,
"Actual/Target Ratio: Total Recruitment							",,,,,,,
"Status: Total Recruitment							",,,,,,,
Target: Racial Minority Recruitment,0,0,5,10,20,20,30
"Actual:  Racial Minority Recruitment							",,,,,,,
Actual/Target Ratio:  Racial Minority Recruitment,,,,,,,
"Status:  Racial Minority Recruitment							",,,,,,,
Target: Hispanic Ethnicity Recruitment,0,0,0,5,10,12,12
"Actual: Hispanic Ethnicity Recruitment							",,,,,,,
Actual/Target Ratio: Hispanic Ethnicity Recruitment,,,,,,,
"Status: Hispanic Ethnicity Recruitment							",,,,,,,
